This file was created by CMPT_ME_BEME_RETS using the 201803 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
,SMALL LoDP,ME1 DP2,SMALL HiDP,BIG LoDP,ME2 DP2,BIG HiDP
195812,   2.53,   4.45,   3.86,   4.68,   4.33,   2.87
195901,   4.94,   6.32,   6.47,  -0.05,   2.82,   5.11
195902,   4.05,   3.65,   2.48,   2.84,   2.04,   3.41
195903,   1.36,   2.42,   0.93,   0.91,   0.87,   0.00
195904,   1.79,   3.18,   2.30,   2.67,   2.50,   3.75
195905,   0.12,   0.10,   1.29,   0.87,   1.04,   1.72
195906,   0.71,   0.05,   0.70,   1.01,   0.08,   1.05
195907,   3.13,   3.54,   2.24,   2.89,   3.59,   2.07
195908,  -2.69,  -0.08,  -0.62,  -2.22,  -0.97,  -0.83
195909,  -4.78,  -3.27,  -3.42,  -4.92,  -5.07,  -3.88
195910,   2.60,   2.99,   0.47,   3.56,   1.48,   0.68
195911,   2.05,   0.92,   1.44,   3.35,   1.32,   0.21
195912,   4.95,   2.23,   0.62,   1.92,   2.37,   1.18
196001,  -5.10,  -2.58,  -0.82,  -7.60,  -5.23,  -2.42
196002,   0.60,   0.61,   0.21,   1.36,   1.25,   0.01
196003,  -3.01,  -2.13,  -2.55,  -1.92,  -2.15,  -0.93
196004,  -2.93,  -2.28,  -1.21,  -1.44,  -1.28,  -0.89
196005,   4.19,   1.26,   0.82,   4.72,   2.20,   0.71
196006,   1.50,   3.02,   1.54,   1.54,   3.15,   2.86
196007,  -2.78,  -1.70,  -0.22,  -4.37,  -0.78,  -0.36
196008,   3.62,   3.54,   2.18,   2.83,   3.59,   3.84
196009,  -7.50,  -4.94,  -5.12,  -7.08,  -4.71,  -5.36
196010,  -4.96,  -2.37,  -1.97,  -2.12,  -0.79,  -0.34
196011,   6.01,   4.41,   2.23,   7.34,   4.98,   4.19
196012,   3.64,   4.57,   1.62,   5.41,   4.41,   3.46
196101,   7.04,   8.45,   9.23,   5.93,   7.38,   9.68
196102,   8.55,   7.09,   4.92,   5.62,   4.95,   4.30
196103,   6.41,   5.92,   4.79,   4.73,   3.10,   1.69
196104,   1.52,   2.34,   0.87,   0.38,  -0.20,   0.66
196105,   4.56,   5.72,   4.40,   3.79,   4.52,   3.25
196106,  -5.53,  -5.01,  -3.94,  -3.18,  -3.29,  -2.67
196107,   1.16,   0.34,   0.95,   1.20,   2.56,   2.22
196108,   0.61,   0.78,   1.06,   3.86,   3.48,   2.39
196109,  -4.49,  -2.27,  -2.21,  -2.58,  -1.49,  -2.18
196110,   0.92,   3.31,   1.12,   2.94,   2.64,   2.40
196111,   6.09,   5.99,   3.70,   5.00,   4.33,   2.55
196112,   0.10,   0.33,   0.30,  -2.20,  -0.38,   0.25
196201,  -0.52,   0.38,   2.24,  -4.35,  -2.59,   0.56
196202,   1.33,   1.24,   2.12,   0.95,   1.85,   1.58
196203,  -1.34,   0.42,  -1.14,  -0.94,  -0.25,  -0.43
196204,  -9.50,  -5.64,  -5.28,  -7.93,  -5.27,  -5.45
196205, -12.64,  -9.60,  -7.34, -12.01,  -8.40,  -5.32
196206, -10.60,  -6.73,  -6.42, -11.51,  -6.95,  -6.41
196207,   7.47,   6.48,   4.25,   8.05,   4.71,   3.07
196208,   3.80,   3.67,   1.88,   1.93,   2.66,   1.34
196209,  -6.64,  -5.75,  -6.03,  -6.60,  -3.74,  -5.62
196210,  -4.40,  -2.39,  -1.71,  -1.25,  -0.23,  -0.30
196211,  16.45,  12.63,  12.68,  14.84,  10.91,  12.54
196212,  -2.73,  -0.10,  -2.29,   0.27,   1.39,  -0.64
196301,   9.21,   8.54,   9.66,   5.15,   5.61,   8.33
196302,  -1.93,  -1.14,  -0.47,  -2.25,  -1.19,  -1.65
196303,   1.23,   1.91,   1.92,   1.89,   2.41,   3.22
196304,   3.16,   4.20,   3.63,   4.04,   4.02,   4.92
196305,   4.93,   3.19,   3.90,   3.04,   1.48,   3.82
196306,  -1.36,  -1.38,  -1.94,  -1.19,  -1.38,  -2.29
196307,  -1.25,  -0.55,  -0.04,  -0.43,  -0.74,  -1.55
196308,   4.59,   4.00,   2.48,   6.41,   5.30,   4.79
196309,  -1.02,  -0.87,  -0.61,  -2.49,  -1.83,  -1.46
196310,   2.66,   1.37,   1.32,   2.39,   1.15,   1.32
196311,  -1.75,  -1.72,  -0.56,  -0.40,  -0.72,  -0.77
196312,  -0.92,   0.65,  -0.29,   1.89,   1.90,   1.00
196401,   2.79,   3.44,   3.52,   1.87,   1.24,   1.75
196402,   1.77,   2.39,   3.09,   2.37,   2.36,   2.28
196403,   2.98,   2.60,   2.73,   1.66,   1.84,   4.76
196404,  -0.14,  -0.67,   0.13,  -0.35,   0.45,  -0.15
196405,   1.69,   0.52,   0.63,   1.34,   2.06,   0.93
196406,   0.73,   1.56,   1.25,   1.88,   1.69,   2.07
196407,   2.90,   2.07,   3.55,   2.29,   2.98,   2.92
196408,   0.40,  -0.46,   0.31,  -1.87,  -0.33,   0.49
196409,   3.59,   3.35,   3.48,   3.46,   3.31,   3.36
196410,   1.53,   2.03,   1.75,   1.01,   1.80,   1.17
196411,  -0.05,  -0.09,   0.01,   0.49,   0.53,  -0.08
196412,  -0.53,  -0.54,  -1.37,  -0.10,  -0.38,  -0.98
196501,   7.56,   6.32,   6.29,   5.87,   4.80,   4.65
196502,   3.13,   4.19,   3.19,   3.49,   1.72,   1.71
196503,   1.47,   1.77,   1.56,  -0.90,   0.13,   0.00
196504,   4.74,   4.67,   4.19,   3.18,   2.70,   3.33
196505,   0.19,  -0.51,  -0.92,   0.06,  -0.91,  -1.05
196506,  -9.47,  -8.25,  -6.55,  -6.60,  -6.26,  -5.58
196507,   3.61,   3.24,   2.03,   3.47,   1.89,   2.69
196508,   5.79,   4.54,   2.48,   5.03,   3.59,   2.41
196509,   4.59,   3.51,   1.62,   3.53,   2.88,   1.51
196510,   7.47,   5.81,   4.59,   3.98,   2.79,   3.41
196511,   4.90,   4.82,   2.49,   3.76,   1.00,   0.81
196512,   4.56,   3.75,   3.92,   2.49,   1.62,   2.87
196601,   6.89,   6.14,   6.74,   2.54,   1.55,   3.36
196602,   3.01,   2.89,   2.63,   0.46,  -1.19,  -0.60
196603,  -1.42,  -0.88,  -1.83,  -0.42,  -2.87,  -2.71
196604,   6.47,   5.25,   3.24,   3.48,   1.77,   1.08
196605,  -9.57,  -8.73,  -7.15,  -5.04,  -5.33,  -6.09
196606,   0.66,   0.47,  -0.62,  -0.65,  -1.55,  -0.32
196607,  -1.43,  -1.05,  -0.98,  -2.01,  -1.03,  -0.82
196608, -11.60,  -9.74,  -7.87,  -9.32,  -8.19,  -6.85
196609,  -2.52,  -1.24,  -0.84,  -2.48,  -0.43,  -0.29
196610,  -3.30,  -0.47,  -0.87,   0.60,   5.82,   5.42
196611,   7.01,   2.66,   0.85,   8.67,   0.59,  -1.35
196612,   4.10,   1.31,   0.39,   1.63,   2.43,   1.41
196701,  20.79,  15.62,  16.10,  10.76,   8.89,  11.60
196702,   5.32,   4.20,   2.32,   2.51,   0.33,  -0.75
196703,   7.22,   6.83,   4.12,   5.44,   4.67,   3.89
196704,   4.37,   4.06,   2.78,   5.44,   3.24,   1.84
196705,  -0.20,  -0.56,  -0.20,  -3.22,  -1.77,  -2.22
196706,  10.88,   8.73,   5.59,   3.66,   2.52,   2.28
196707,   8.29,  10.11,   7.63,   4.64,   5.92,   5.24
196708,  -0.63,   1.33,   2.03,  -0.98,  -0.30,   1.50
196709,   7.38,   7.31,   4.73,   4.22,   2.31,   1.56
196710,  -1.68,  -2.11,  -1.96,  -2.73,  -5.00,  -5.14
196711,   1.20,  -0.09,  -0.27,   2.17,   0.66,  -0.73
196712,  10.39,   7.77,   5.10,   3.20,   4.18,   3.38
196801,   0.39,   3.58,   6.33,  -6.94,  -1.85,   1.38
196802,  -7.11,  -4.36,  -1.75,  -5.67,  -3.28,  -1.08
196803,  -1.29,  -0.83,  -0.90,   2.29,  -0.42,  -1.88
196804,  16.66,  13.79,  11.71,  13.00,   8.60,   7.15
196805,  10.25,  10.90,   8.86,   4.35,   2.99,   3.01
196806,   0.98,   1.80,   4.15,  -0.28,   3.20,   3.94
196807,  -3.85,  -2.83,  -0.12,  -6.33,  -2.73,  -1.19
196808,   4.61,   4.56,   2.34,   1.88,   2.04,   1.93
196809,   6.77,   6.76,   4.96,   5.45,   6.28,   4.57
196810,   0.92,   1.93,   3.32,   0.13,   1.62,   2.36
196811,   7.43,   7.33,   6.18,   7.03,   7.03,   6.93
196812,   0.17,   0.11,   0.68,  -3.57,  -2.96,  -1.56
196901,  -0.79,  -0.93,   0.07,  -2.01,  -0.50,   0.64
196902,  -9.76,  -7.00,  -5.89,  -7.41,  -6.14,  -5.43
196903,   2.30,   1.66,   0.14,   3.06,   0.80,   1.20
196904,   0.38,  -0.05,  -0.27,   2.18,   1.29,  -0.07
196905,   0.35,   0.05,   0.13,  -1.06,   0.71,  -0.29
196906, -13.85, -10.91,  -8.37,  -8.72,  -8.18,  -7.25
196907, -11.24,  -9.28,  -6.53,  -7.40,  -7.44,  -5.35
196908,   7.09,   4.12,   1.72,   8.79,   4.91,   1.60
196909,  -1.44,  -1.35,  -3.70,  -0.54,  -2.20,  -3.10
196910,  10.51,   7.85,   6.59,   6.85,   7.25,   6.39
196911,  -5.62,  -5.10,  -4.73,  -3.23,  -3.95,  -4.52
196912,  -6.43,  -7.06,  -6.45,  -1.50,  -2.65,  -2.87
197001,  -4.83,  -1.81,   0.32,  -8.70,  -8.01,  -3.82
197002,   3.29,   2.24,   4.33,   4.51,   7.03,   6.85
197003,  -4.67,  -0.93,   1.30,  -3.18,   0.73,   1.96
197004, -19.65, -13.09,  -8.55, -14.59, -10.52,  -8.21
197005, -11.01,  -8.91,  -6.99, -10.09,  -8.22,  -5.53
197006,  -8.31,  -6.74,  -4.74,  -6.03,  -4.47,  -6.41
197007,   5.98,   7.25,   5.39,   5.76,   9.37,   8.13
197008,   6.17,   5.17,   6.47,   5.46,   5.88,   5.30
197009,  14.71,  11.90,   8.19,   7.76,   3.96,   4.37
197010,  -5.69,  -5.20,  -4.64,  -2.15,  -2.86,  -2.56
197011,   0.14,   0.37,   2.33,   4.30,   4.64,   6.61
197012,   9.95,  10.92,  11.00,   6.60,   8.78,   9.12
197101,  13.32,  14.69,  13.16,   6.08,   6.03,   6.49
197102,   6.62,   4.11,   3.43,   3.44,   1.35,   0.86
197103,   6.66,   6.04,   5.62,   5.83,   3.66,   2.78
197104,   3.27,   2.60,   2.24,   4.59,   2.63,   2.43
197105,  -4.46,  -5.35,  -5.20,  -2.33,  -3.50,  -3.63
197106,  -1.74,  -1.80,  -1.98,   0.84,   0.23,  -0.27
197107,  -5.54,  -4.34,  -2.44,  -4.26,  -3.62,  -3.04
197108,   4.18,   4.40,   3.93,   6.25,   4.68,   2.29
197109,   0.27,   0.42,  -2.09,   0.18,  -0.42,  -1.76
197110,  -5.90,  -5.09,  -3.66,  -5.69,  -5.21,  -2.41
197111,  -3.50,  -3.54,  -2.66,  -0.29,  -1.20,  -1.25
197112,  12.58,  12.36,   9.01,  11.56,  10.07,   9.08
197201,  10.55,   8.82,   9.71,   3.72,   1.63,   1.99
197202,   4.77,   4.44,   1.88,   6.46,   2.75,  -0.02
197203,   0.47,  -0.41,   0.04,   0.72,   0.85,   0.10
197204,   0.53,   2.04,   0.57,   0.69,   0.85,  -1.16
197205,  -1.95,  -2.78,  -2.13,   3.14,  -1.27,  -0.98
197206,  -4.08,  -2.73,  -1.55,  -2.04,  -4.01,  -2.27
197207,  -4.09,  -2.96,  -0.59,  -1.43,  -1.97,  -0.40
197208,  -0.52,   1.55,   1.99,   1.17,   4.74,   6.11
197209,  -3.47,  -3.76,  -1.40,  -1.70,  -2.18,  -1.07
197210,  -3.49,  -1.09,   1.10,  -1.03,   0.15,   3.06
197211,   5.07,   6.27,   6.50,   4.93,   8.24,   7.45
197212,  -0.98,  -1.96,  -0.99,   1.18,  -0.86,  -2.03
197301,  -4.63,  -3.54,  -1.73,  -5.27,  -6.68,  -2.68
197302,  -9.80,  -6.92,  -3.50,  -6.33,  -5.13,  -3.08
197303,  -3.93,  -2.21,  -1.38,  -2.63,  -2.20,  -0.92
197304,  -8.91,  -5.30,  -2.78,  -8.43,  -5.69,  -1.52
197305, -10.48,  -7.87,  -4.39,  -4.94,  -4.05,  -2.18
197306,  -4.36,  -2.88,  -1.67,  -2.93,  -3.21,  -1.23
197307,  16.14,  12.43,   6.63,  13.33,   7.40,   1.84
197308,  -5.60,  -6.08,  -4.15,  -2.22,  -1.73,  -2.54
197309,   9.37,  10.44,   6.42,   8.19,  11.61,   8.83
197310,   1.80,  -1.03,  -0.15,  -1.06,  -0.14,  -0.68
197311, -22.57, -18.97, -14.11, -16.23, -15.55, -11.48
197312,  -3.62,  -3.52,  -3.22,  -0.49,   3.23,   1.82
197401,  14.52,  15.76,  13.03,   0.88,   4.97,   7.24
197402,   0.08,   1.55,   1.59,  -0.48,   1.24,   1.98
197403,   1.65,   1.18,   1.20,  -1.43,  -2.37,  -2.52
197404,  -5.93,  -3.94,  -4.68,  -6.35,  -5.44,  -7.46
197405,  -7.91,  -7.22,  -7.22,  -5.74,  -6.23,  -5.74
197406,  -3.58,  -1.98,  -1.92,  -1.75,  -3.58,  -4.13
197407,  -6.29,  -3.82,  -2.13,  -8.57,  -3.88,  -0.37
197408,  -8.29,  -7.29,  -6.66, -11.28,  -8.88,  -6.60
197409,  -7.91,  -5.48,  -5.16, -11.83,  -8.12,  -3.23
197410,   8.99,   6.60,   5.48,  21.00,  15.84,   8.24
197411,  -4.56,  -4.56,  -4.32,  -3.25,  -3.35,  -2.05
197412,  -7.19,  -6.30,  -7.12,  -4.79,  -2.21,  -3.13
197501,  28.61,  25.83,  28.87,  16.98,  20.24,  24.33
197502,   6.23,   3.90,   1.11,   7.95,   3.08,   1.38
197503,   7.46,   6.68,   6.22,   5.72,   5.45,   2.92
197504,   3.93,   2.79,   0.66,   5.75,   5.43,   0.30
197505,   7.52,   5.88,   4.68,   7.01,   4.29,   7.03
197506,   6.47,   6.21,   7.73,   4.64,   6.79,   8.87
197507,  -1.19,   0.22,   0.89,  -7.66,  -4.30,  -3.96
197508,  -5.11,  -4.05,  -3.01,  -3.98,  -3.14,  -1.06
197509,  -3.65,  -2.24,  -1.73,  -5.49,  -3.65,  -2.33
197510,   2.31,   2.08,   1.87,   5.35,   5.81,   5.37
197511,   2.35,   3.28,   2.21,   2.54,   4.51,   3.73
197512,  -0.93,  -0.43,  -0.05,  -1.73,  -0.03,   0.94
197601,  19.54,  17.70,  15.85,  13.28,  15.82,  12.74
197602,  11.27,  10.84,   8.01,   0.92,   4.86,   1.49
197603,   1.27,   1.36,   0.91,   1.16,   1.74,   1.93
197604,  -0.46,  -0.26,   0.64,  -1.42,  -1.35,   0.18
197605,  -1.82,  -1.27,  -0.96,  -1.75,  -0.39,  -1.56
197606,   2.63,   2.16,   1.88,   5.10,   5.84,   4.66
197607,  -0.99,   1.18,   1.82,  -1.25,  -0.86,   1.65
197608,  -2.11,  -0.73,   0.76,  -1.51,  -1.47,   2.58
197609,   2.81,   2.22,   2.29,   2.51,   2.04,   2.67
197610,  -1.99,  -1.20,  -0.35,  -3.15,  -1.84,  -0.51
197611,   3.57,   2.49,   2.81,   1.88,   2.68,   2.88
197612,   9.19,   9.72,   8.76,   6.18,   8.01,   7.75
197701,   3.37,   3.24,   3.87,  -5.56,  -2.77,   0.06
197702,   0.86,   1.01,   0.28,  -2.49,  -1.12,  -2.00
197703,   1.35,   0.85,   0.89,  -0.96,   0.65,  -0.14
197704,   2.09,   2.35,   1.18,   0.36,   1.91,   2.36
197705,   0.54,   0.83,   0.23,  -1.03,  -1.36,   0.69
197706,   6.26,   4.74,   3.69,   6.37,   4.01,   4.58
197707,   0.72,   2.07,   2.09,  -1.51,  -2.29,  -0.29
197708,   0.02,   0.14,  -0.43,  -0.24,  -1.56,  -2.81
197709,   2.02,   1.64,   0.76,   0.70,  -0.10,   0.14
197710,  -2.52,  -1.21,  -0.69,  -4.58,  -3.24,  -2.78
197711,   8.92,   7.16,   4.71,   7.50,   5.89,   3.69
197712,   3.51,   2.28,   1.17,   1.09,   0.34,   0.35
197801,  -2.76,  -0.91,  -0.32,  -6.96,  -5.68,  -3.31
197802,   3.52,   2.66,   2.32,  -1.04,  -0.35,  -0.89
197803,   7.42,   6.27,   4.54,   5.17,   4.75,   3.43
197804,   9.12,   7.36,   5.38,  10.22,   8.66,   3.08
197805,   7.95,   6.87,   3.37,   4.36,   3.61,   1.52
197806,   0.93,   0.79,   0.95,  -0.42,  -1.65,  -0.07
197807,   5.70,   4.06,   3.27,   7.16,   5.80,   3.68
197808,   9.30,   8.21,   5.66,   6.75,   4.51,   3.17
197809,  -0.61,   0.13,   1.22,  -2.37,  -0.87,  -0.19
197810, -20.85, -16.60, -11.41, -16.03, -12.71,  -9.08
197811,   7.06,   4.28,   1.73,   5.26,   2.61,   2.06
197812,   2.65,   1.42,   0.99,   2.47,   0.88,   0.20
197901,   9.78,   9.20,   6.68,   4.74,   6.99,   6.77
197902,  -2.09,  -1.32,  -0.44,  -4.63,  -3.49,  -1.68
197903,   9.18,   7.13,   4.41,   8.95,   7.51,   5.41
197904,   3.36,   2.78,   2.00,   1.56,   0.90,   0.00
197905,  -1.44,  -0.71,  -0.27,  -2.51,  -0.84,   0.15
197906,   4.97,   4.75,   4.00,   5.82,   5.60,   5.08
197907,   1.76,   2.89,   3.50,   2.93,   3.07,   2.19
197908,   8.48,   7.55,   5.33,   8.57,   7.09,   4.21
197909,  -0.01,  -0.49,  -1.12,   1.20,  -0.23,  -1.94
197910, -10.46,  -9.49,  -8.87,  -7.02,  -9.06,  -8.00
197911,   8.27,   4.57,   3.93,   9.69,   6.45,   4.68
197912,   7.39,   5.53,   2.74,   5.07,   3.71,   0.05
198001,   9.00,   7.06,   5.56,   7.37,   5.58,   2.26
198002,  -1.64,  -2.59,  -3.41,  -1.93,  -3.23,  -4.30
198003, -17.28, -14.62, -12.23, -13.73, -11.48,  -6.73
198004,   5.85,   4.40,   6.20,   6.27,   4.88,   9.09
198005,   8.79,   6.98,   7.22,   7.80,   8.01,   7.31
198006,   4.60,   4.59,   4.52,   5.04,   3.72,   3.01
198007,  11.22,   9.50,   5.82,  10.68,   7.69,   3.56
198008,   7.40,   5.70,   3.03,   5.19,   2.13,   0.61
198009,   4.17,   3.78,   1.46,   5.20,   3.07,  -0.29
198010,   4.57,   2.44,   1.26,   2.53,  -0.13,  -0.34
198011,   6.78,   2.91,   0.74,  13.30,   6.73,   0.84
198012,  -3.77,  -2.28,  -1.23,  -3.63,  -1.21,   1.34
198101,  -0.20,   2.50,   3.77,  -5.65,  -1.05,   1.56
198102,   0.66,   2.18,   1.61,   1.32,   2.99,   1.80
198103,   8.96,   8.03,   6.29,   6.44,   8.11,   6.74
198104,   4.63,   3.89,   2.94,  -0.53,   0.08,   0.97
198105,   3.53,   2.23,   0.86,   1.59,   1.36,   2.01
198106,  -0.26,   2.12,   2.90,  -3.09,   0.27,   2.20
198107,  -3.21,  -1.54,  -0.32,   0.05,  -1.83,  -1.56
198108,  -8.00,  -5.01,  -2.49,  -7.34,  -5.36,  -3.42
198109,  -8.57,  -5.98,  -3.77,  -6.90,  -5.76,  -3.67
198110,   8.40,   6.07,   4.82,  10.19,   4.67,   4.56
198111,   2.96,   4.22,   4.97,   3.38,   4.62,   5.25
198112,  -1.31,  -0.42,  -0.18,  -2.80,  -1.82,  -2.16
198201,  -2.48,  -1.93,   0.36,  -4.70,  -3.69,  -0.71
198202,  -4.19,  -2.34,  -0.75,  -6.36,  -4.47,  -0.83
198203,  -1.25,  -0.33,   0.64,  -1.81,  -1.18,   0.97
198204,   5.98,   4.85,   3.20,   5.64,   4.85,   4.07
198205,  -2.69,  -0.65,  -0.13,  -4.18,  -3.70,  -3.01
198206,  -2.27,  -1.46,  -1.48,  -4.38,  -1.78,  -1.05
198207,  -0.73,  -0.15,  -0.45,  -1.31,  -2.59,  -3.36
198208,   6.70,   6.42,   7.03,  11.18,  12.45,  13.23
198209,   3.90,   4.88,   5.43,   2.85,   3.54,   1.40
198210,  13.41,  11.26,  10.26,  14.47,  13.31,  10.13
198211,  10.58,   9.28,   7.04,   7.70,   5.16,   3.55
198212,   3.04,   1.54,   1.76,   1.78,   1.16,   1.85
198301,   8.08,   5.70,   6.24,   2.75,   2.21,   4.18
198302,   6.11,   6.82,   4.78,   4.20,   3.48,   2.80
198303,   5.51,   6.03,   5.64,   2.82,   4.62,   3.65
198304,   7.88,   7.88,   7.28,   6.13,   6.52,   6.41
198305,   8.23,   6.69,   5.21,   5.09,   2.15,   2.68
198306,   5.39,   3.76,   2.36,   5.24,   3.29,   0.02
198307,  -1.82,  -0.10,   2.24,  -4.25,  -3.22,  -0.56
198308,   0.23,  -1.76,   0.44,  -2.48,  -0.29,   2.16
198309,   1.93,   2.57,   4.33,   1.36,   3.52,   3.40
198310,  -5.85,  -2.78,  -0.21,  -6.24,  -1.49,  -0.30
198311,   4.54,   4.08,   3.31,   5.07,   4.36,   2.16
198312,  -0.78,   0.76,   0.91,  -2.50,  -0.20,  -1.51
198401,  -1.05,   1.64,   2.79,  -5.67,  -1.90,   0.78
198402,  -5.89,  -3.67,  -2.12,  -6.23,  -5.22,  -3.51
198403,   1.32,   2.12,   0.84,   2.09,   2.35,   0.94
198404,  -0.67,   0.14,   0.13,   0.01,  -0.67,  -0.81
198405,  -4.58,  -3.67,  -2.36,  -5.40,  -5.45,  -3.76
198406,   3.10,   2.52,   2.19,   3.76,   3.90,   0.82
198407,  -3.00,  -2.07,  -0.54,  -3.06,  -2.66,  -1.34
198408,  11.18,   8.52,   6.79,  13.63,  11.72,  10.61
198409,   0.51,   1.62,   3.68,  -1.72,   0.05,   3.69
198410,  -1.25,  -0.19,   2.16,  -1.17,   0.82,   1.06
198411,  -2.26,   0.00,   1.02,  -3.20,   0.40,   1.37
198412,   1.22,   2.36,   2.20,   2.69,   2.32,   2.58
198501,  12.78,   9.96,   8.48,  11.83,   8.79,   6.50
198502,   4.18,   2.90,   2.07,   1.71,   1.88,   1.92
198503,  -1.82,  -0.56,   1.10,  -0.55,  -0.23,   2.19
198504,  -1.37,   0.26,   3.12,  -1.71,  -0.67,   1.23
198505,   3.08,   3.11,   3.90,   6.57,   6.19,   5.54
198506,   1.32,   2.06,   3.40,   1.79,   1.58,   2.87
198507,   2.75,   2.72,   1.54,   0.45,   0.47,  -1.47
198508,  -0.67,   1.00,   0.55,  -0.88,  -0.49,   1.20
198509,  -4.66,  -3.23,  -2.21,  -5.90,  -3.41,  -4.07
198510,   3.42,   4.25,   2.86,   4.54,   5.19,   5.89
198511,   6.17,   5.56,   5.42,   7.63,   7.74,   5.05
198512,   4.43,   4.64,   3.44,   3.79,   4.13,   4.63
198601,   3.47,   2.06,   1.94,   2.31,   2.15,   1.35
198602,   7.14,   7.62,   5.95,   7.85,   9.01,   6.65
198603,   4.80,   5.52,   5.15,   5.43,   6.68,   4.63
198604,   1.48,   0.88,   0.67,  -0.39,  -1.35,  -2.06
198605,   3.71,   4.03,   3.21,   5.41,   5.49,   5.00
198606,   1.45,   1.86,   2.66,   1.22,   1.11,   2.67
198607,  -6.73,  -5.13,  -4.41,  -7.51,  -6.49,  -2.13
198608,   2.06,   2.23,   4.90,   5.18,   6.81,   9.53
198609,  -5.47,  -4.37,  -3.66,  -8.60,  -7.31,  -6.36
198610,   3.22,   1.69,   1.90,   6.03,   5.32,   4.98
198611,   0.68,  -0.32,  -0.39,   0.27,   1.22,   1.18
198612,  -2.24,  -1.73,  -1.71,  -2.31,  -2.56,  -2.95
198701,  10.78,   9.39,   8.89,  12.95,  12.32,  10.49
198702,   7.60,   5.39,   3.05,   8.53,   5.78,   0.87
198703,   1.39,   3.51,   1.91,   0.61,   1.50,   1.66
198704,  -3.01,  -2.30,  -2.79,  -2.11,  -3.07,  -2.88
198705,  -1.01,  -0.11,   1.18,   0.89,  -0.09,   0.30
198706,   2.79,   3.74,   2.45,   5.07,   5.53,   4.32
198707,   2.30,   3.57,   2.46,   6.31,   5.09,   1.83
198708,   3.13,   3.19,   2.81,   3.04,   3.59,   3.62
198709,  -1.94,  -0.82,  -1.58,  -2.50,  -1.83,  -2.38
198710, -27.42, -24.91, -18.36, -26.60, -25.16, -16.13
198711,  -3.51,  -2.44,  -1.76,  -6.85,  -5.72,  -4.10
198712,   5.04,   4.86,   1.40,  10.37,   9.13,   3.06
198801,   6.48,   6.57,   6.22,   3.00,   6.27,   8.92
198802,   7.74,   7.55,   6.09,   8.31,   7.51,   3.17
198803,   4.74,   4.26,   2.15,  -0.44,   0.09,  -1.85
198804,   0.35,   1.85,   1.57,   0.02,  -0.24,   0.24
198805,  -0.48,  -1.21,  -0.80,  -0.66,  -0.50,   2.11
198806,   6.34,   5.23,   4.61,   7.08,   6.69,   4.57
198807,   0.04,   0.45,   0.21,  -2.32,  -1.35,  -0.22
198808,  -2.18,  -1.38,  -0.24,  -3.67,  -1.56,  -0.36
198809,   2.65,   2.09,   1.82,   4.00,   3.81,   3.33
198810,  -0.28,  -0.14,  -0.24,   0.50,   1.83,   1.57
198811,  -2.33,  -1.97,  -1.88,  -2.65,  -2.56,  -1.80
198812,   3.26,   2.00,   0.89,   3.68,   2.07,   0.73
198901,   4.39,   4.45,   3.43,   6.08,   6.47,   4.75
198902,   0.78,   1.39,   0.62,  -0.69,  -0.73,  -0.45
198903,   2.00,   1.83,   0.74,   1.14,   2.51,   1.73
198904,   3.62,   2.51,   1.57,   5.17,   4.66,   4.01
198905,   1.95,   3.16,   2.81,   4.39,   3.67,   4.56
198906,  -0.24,  -0.63,   0.07,  -1.25,  -0.58,   1.79
198907,   4.04,   2.56,   1.82,   7.75,   8.17,   5.47
198908,   3.23,   2.71,   2.41,   2.86,   3.70,   1.62
198909,   0.43,  -0.27,  -0.66,  -0.66,  -1.58,  -0.16
198910,  -4.88,  -4.88,  -5.47,  -4.43,  -4.14,  -3.33
198911,   0.07,  -0.23,  -1.04,   1.69,   1.96,   0.84
198912,  -0.79,  -1.73,  -3.83,   1.16,   2.11,   1.74
199001,  -7.60,  -5.75,  -4.74,  -7.84,  -7.19,  -7.07
199002,   1.69,   0.99,   0.92,   1.36,   1.74,   1.25
199003,   3.12,   0.93,  -0.20,   3.63,   2.52,  -0.20
199004,  -2.93,  -2.72,  -3.80,  -4.13,  -3.62,  -5.41
199005,   4.42,   1.60,  -0.27,   9.95,   9.36,   6.61
199006,   0.20,  -0.82,  -1.70,  -1.00,  -1.28,  -0.80
199007,  -3.60,  -3.63,  -4.77,  -1.88,  -1.47,  -1.75
199008, -12.14, -10.31,  -8.03,  -9.77, -10.55,  -8.27
199009,  -8.13,  -7.61,  -8.29,  -6.68,  -6.79,  -5.39
199010,  -5.71,  -6.12,  -6.23,  -3.21,  -2.89,  -1.37
199011,   5.40,   4.00,   5.26,   8.81,   9.56,   7.57
199012,   3.59,   1.68,  -0.94,   5.91,   4.84,   1.63
199101,   7.54,   6.50,   7.71,   6.46,   6.24,   4.33
199102,  11.64,  11.50,  12.25,   9.49,   7.84,   8.68
199103,   5.63,   4.75,   5.38,   2.99,   3.00,   3.03
199104,   1.41,   2.11,   1.73,   0.27,   0.79,   2.20
